Customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CustAddress,first_name,last_name,email,gender,CustCity,CustState,CustSuffix,SSN,StartDate,EndDate,CusDOB,CustomerLegacyID,WithholdingCode,Alias LastName,Alias FirstName,Alias Suffix,AliasDOB,,AliasMailAddressas,,image DocumentID,age,heredity,income,burn the midnight oil,unhealthy eating habit,unstable emotion status,smoking and drinking,insufficient physical exercises,type of chronic disease ,
Geany,Brit,IV,3/7/1992,6/1/2023,316-625-4677,924169,bgeany9@pen.io,1 Del Mar Lane,Suite 31,Wichita,Kansas,88050,2/18/2023,778495,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Territory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TerritoryName,StartDate,TerritoryEndDate,StateOperationName,StateCode,StateEndDate,RegionName,RegionEndDate,DistrictName,DistrictEndDate,,,,,,,,,,,,,,,,,,,,,,
CN,8/30/2023,8/26/2023,afyjre,6231,1/13/2023,,11/22/2022,Jingxiyuan,3/8/2022,,,,,,,,,,,,,,,,,,,,,,
CA,10/5/2023,9/9/2023,tjpgdy,5158,8/4/2023,Québec,11/28/2022,Chambly,6/7/2021,,,,,,,,,,,,,,,,,,,,,,
NG,9/27/2023,8/8/2023,tastdx,6663,4/5/2023,,3/27/2023,Tegina,3/19/2023,,,,,,,,,,,,,,,,,,,,,,
DE,5/9/2023,11/28/2023,yrhrcf,4476,10/14/2023,Hessen,8/14/2023,Wiesbaden,6/3/2023,,,,,,,,,,,,,,,,,,,,,,
TH,8/29/2023,2/10/2023,iuukkc,8717,11/17/2022,,9/4/2023,Kanchanaburi,8/12/2021,,,,,,,,,,,,,,,,,,,,,,
MK,11/26/2022,12/7/2023,zvrdtm,9055,11/3/2022,,6/30/2022,Forino,5/23/2022,,,,,,,,,,,,,,,,,,,,,,
LK,8/14/2023,1/23/2023,ecwigy,1678,11/9/2022,,10/27/2022,Kelaniya,8/18/2020,,,,,,,,,,,,,,,,,,,,,,
NG,7/31/2023,3/1/2023,jbbihu,740,11/14/2022,,8/22/2021,Okpoga,5/21/2021,,,,,,,,,,,,,,,,,,,,,,
CN,8/26/2023,5/18/2023,qyuaqz,1119,2/13/2023,,4/1/2022,Jimo,1/20/2021,,,,,,,,,,,,,,,,,,,,,,
IL,7/21/2023,11/6/2023,tuindx,4264,7/28/2023,,6/23/2023,Kafir Yasif,6/16/2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EmployeeID,EmpLastName,EmpFirstName,EmpAddress1,EmpAddress2,EmpCity,EmpState,EmpZip,,,,,,,,,,,,,,,,,,,,,,,,
636515,Kemet,Euphemia,71 Kipling Crossing,Room 1459,Omaha,Nebraska,44658,,,,,,,,,,,,,,,,,,,,,,,,
396293,Challener,Adelheid,91821 Bunker Hill Alley,Room 1096,Athens,Georgia,77266,,,,,,,,,,,,,,,,,,,,,,,,
149982,Smogur,Selig,82557 Morning Park,Apt 983,San Diego,California,10795,,,,,,,,,,,,,,,,,,,,,,,,
410014,Halms,Kippar,022 Main Street,Suite 76,Orange,California,90872,,,,,,,,,,,,,,,,,,,,,,,,
655476,Westby,Ruprecht,41059 Nevada Street,Room 279,Washington,District of Columbia,49905,,,,,,,,,,,,,,,,,,,,,,,,
555033,Love,Terese,94101 Bunting Parkway,PO Box 9321,New Haven,Connecticut,1847,,,,,,,,,,,,,,,,,,,,,,,,
650304,Jackes,Derrek,757 Buena Vista Point,13th Floor,Canton,Ohio,69534,,,,,,,,,,,,,,,,,,,,,,,,
466068,Ikin,Bernadine,6471 Reinke Lane,Room 500,Grand Rapids,Michigan,79289,,,,,,,,,,,,,,,,,,,,,,,,
240262,Joiris,Denys,601 Rusk Junction,Suite 13,Migrate,Kentucky,69003,,,,,,,,,,,,,,,,,,,,,,,,
997622,Blaksland,Lorelei,22 Oak Valley Center,Room 910,San Antonio,Texas,64738,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ManagerContract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SitCode,IssueDate,ContractType,ContractSignDate,ContractProcessDate,CommissionCode,EndDate,,,,,,,,,,,,,,,,,,,,,,,,,
5978,9/26/2023,FFP,6/24/2022,12/25/2022,6932,9/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,
8141,1/21/2023,Cost Reimbursement,5/22/2023,10/24/2023,9164,4/3/2026,,,,,,,,,,,,,,,,,,,,,,,,,
2192,8/31/2023,FFP,7/30/2022,12/28/2022,2018,9/1/2027,,,,,,,,,,,,,,,,,,,,,,,,,
2656,6/23/2023,Cost Plus Fixed Fee Contracts,10/14/2022,2/25/2023,7455,10/27/2027,,,,,,,,,,,,,,,,,,,,,,,,,
926,8/19/2023,FFP,8/1/2023,8/4/2023,9949,1/14/2026,,,,,,,,,,,,,,,,,,,,,,,,,
1037,10/17/2023,Cost Plus Fixed Fee Contracts,1/9/2023,2/9/2023,1164,1/27/2025,,,,,,,,,,,,,,,,,,,,,,,,,
4744,11/21/2022,FFP,1/15/2023,2/9/2023,5268,4/9/2026,,,,,,,,,,,,,,,,,,,,,,,,,
2407,1/3/2023,Cost Plus Fixed Fee Contracts,11/19/2022,3/25/2023,8585,12/28/2027,,,,,,,,,,,,,,,,,,,,,,,,,
8708,2/6/2023,FFP,12/15/2022,12/23/2022,1971,10/14/2025,,,,,,,,,,,,,,,,,,,,,,,,,
3091,3/7/2023,FFP,11/21/2022,11/22/2022,1511,12/15/2024,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ContractPremium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AnnualizedPremium,ProcessDate,AppSignDate,Premium_MgmtContract Amount,Premium_MgmtContract CommissionRate,,,,,,,,,,,,,,,,,,,,,,,,,,,
13242,4/7/2013,1/28/2021,5720,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,
5410,2/12/2012,1/19/2011,8708,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,
77957,4/13/2021,12/18/2010,22,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
61260,2/26/2014,7/15/2017,784,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,
59417,10/29/2017,6/28/2017,6227,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,
37230,2/27/2016,3/11/2018,4555,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,
68492,11/2/2015,12/25/2011,4456,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,
76567,12/10/2016,3/27/2021,5652,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
5030,6/30/2023,11/16/2022,1072,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,
96196,3/8/2015,1/4/2023,7849,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClaimNumber,ClaimDate,ClaimDateSettlementDate,WellnessEligibilityDate,ContractNumber,LineOfBusiness,SSN,,,,,,,,,,,,,,,,,,,,,,,,,
83500511,6/2/2023,10/2/2023,11/4/2023,6245365,commercial,409-39-9148,,,,,,,,,,,,,,,,,,,,,,,,,
95501470,7/26/2023,8/7/2023,8/19/2023,6026352,personal,762-01-2795,,,,,,,,,,,,,,,,,,,,,,,,,
75856892,8/1/2023,9/3/2023,11/4/2023,4545382,auto,567-75-7966,,,,,,,,,,,,,,,,,,,,,,,,,
46008130,9/19/2022,10/10/2022,11/15/2022,3383625,residence,524-38-9939,,,,,,,,,,,,,,,,,,,,,,,,,
80687367,9/14/2022,10/2/2022,11/14/2022,4587440,personal,405-59-5143,,,,,,,,,,,,,,,,,,,,,,,,,
37442608,8/16/2023,9/10/2023,12/17/2023,7568960,personal,659-17-9120,,,,,,,,,,,,,,,,,,,,,,,,,
68628607,11/15/2022,11/7/2022,1/29/2023,3214306,commercial,724-85-8870,,,,,,,,,,,,,,,,,,,,,,,,,
78269958,1/2/2023,8/26/2023,10/9/2023,5496328,residence,519-66-6922,,,,,,,,,,,,,,,,,,,,,,,,,
86341049,12/22/2022,1/1/2023,3/4/2023,1396984,auto,465-06-3975,,,,,,,,,,,,,,,,,,,,,,,,,
26749087,10/22/2023,10/30/2023,11/6/2023,4880713,commercial,134-81-1815,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claim image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DocumentID,ImageType,DateReceived,ProcessedDate,ClaimNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,
6915645,jpg,3/4/2022,5/21/2022,83500511,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466470,jpg,10/28/2022,11/9/2022,95501470,,,,,,,,,,,,,,,,,,,,,,,,,,,
7111541,jpg,9/27/2022,11/26/2022,75856892,,,,,,,,,,,,,,,,,,,,,,,,,,,
5879270,jpg,7/12/2022,8/27/2022,46008130,,,,,,,,,,,,,,,,,,,,,,,,,,,
7875467,jpg,10/13/2021,7/19/2022,80687367,,,,,,,,,,,,,,,,,,,,,,,,,,,
7316485,jpg,6/12/2022,11/9/2022,37442608,,,,,,,,,,,,,,,,,,,,,,,,,,,
2056995,jpg,4/30/2022,7/20/2022,68628607,,,,,,,,,,,,,,,,,,,,,,,,,,,
3282937,jpg,6/18/2022,9/21/2022,78269958,,,,,,,,,,,,,,,,,,,,,,,,,,,
6234306,jpg,6/21/2022,12/13/2022,86341049,,,,,,,,,,,,,,,,,,,,,,,,,,,
1085821,jpg,11/29/2021,5/10/2022,26749087,,,,,,,,,,,,,,,,,,,,,,,,,,,
